CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Credit_Limit,Date_Leave,Months_Inactive,Contacts_Count,Total_Revolving_Bal,Total_Trans_Ct,Avg_Open_To_Buy,Avg_Utilization_Ratio,Trans_Amount,Revenue,Country,Province,City,Date,Year,Quarter,Month,Transaction_Category,Transaction_Subcategory
715651833,Attrited Customer,65,M,1,High School,Single,Less than $40K,Blue,36,3,2351,"Q2,2018",4,4,0,35,2351,0,4066,115.881,Myanmar,Naypyidaw,Ottarathiri Township,5/19/2018,2018,2,May,Utility,Internet Bill
814219008,Existing Customer,65,M,1,Uneducated,Single,Less than $40K,Blue,56,5,1456,"none,2018",2,4,1722,188,589,0.5925,15834.7424,451.024962,Myanmar,Mandalay,Chanmyathazi,,,,,Utility,Gas Bill
807244983,Existing Customer,65,F,0,College,Married,Less than $40K,Blue,56,6,1438.3,"none,2018",5,4,1921,116,758.3,0.5465,15972,455.211312,Brunei,Belait,Mukim Liang,,,,,Utility,Internet Bill
788754108,Existing Customer,65,F,1,Graduate,Single,$40K - $60K,Silver,48,4,4599,"none,2018",6,8,1596,128,3962,0.1745,5872,165.781479,Cambodia,Siem Reap,Kampong Cham,,,,,Retail,Electronics Store
802464033,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,56,6,4460,"none,2018",4,6,2162,163,3198,0.2415,7201,205.5813,Myanmar,Naypyidaw,Pyinmana Township,,,,,Bank,ATM Withdrawal
795810633,Existing Customer,65,M,0,College,Married,$40K - $60K,Silver,68,3,10144,"none,2019",9,4,2113,93,8849,0.104,12355,345.485028,Philippines,Metro Manila,Caloocan,,,,,Utility,Gas Bill
789467508,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,56,5,2961,"none,2018",8,0,2172,156,1391,0.365,7805,222.452004,Philippines,Calabarzon,Calamba,,,,,Retail,Sporting Goods
789344358,Existing Customer,65,F,1,College,Married,$40K - $60K,Blue,59,4,3416,"none,2019",7,6,2702,123,948,0.396,8744,247.510191,Brunei,Belait,Sungai Teraban,,,,,Utility,Internet Bill
789204933,Existing Customer,65,M,1,Graduate,Single,$40K - $60K,Silver,67,3,8963,"none,2019",2,8,1366,155,8963,0.075,9017,258.508694,Malaysia,Johor,Johor Bahru,,,,,Retail,Bookstore
789193383,Attrited Customer,65,M,0,High School,Single,$40K - $60K,Blue,66,3,2644,"Q3,2019",5,10,2403,140,953,0.455,7997,227.92794,Singapore,Central Region,Woodlands,8/13/2019,2019,3,August,Utility,Internet Bill
788997408,Existing Customer,65,F,2,High School,Single,$40K - $60K,Blue,53,6,2195,"none,2018",3,4,3333,187,278,0.7615,5865,168.722838,Thailand,Bangkok,Dusit,,,,,Bank,Online Transfer
714547458,Existing Customer,65,M,0,Graduate,Married,Less than $40K,Blue,56,3,2297,"none,2018",5,4,1440,170,2297,0.315,4483.28,127.62165,Brunei,Tutong,Sungai Teraban,,,,,Utility,Internet Bill
715532208,Existing Customer,65,F,1,High School,Single,Less than $40K,Blue,67,3,4010,"none,2019",7,4,2348,174,2506,0.2925,4556,128.132577,Singapore,East Region,Paya Lebar,,,,,Utility,Gas Bill
716284308,Existing Customer,65,M,2,High School,Married,$40K - $60K,Silver,67,3,6099,"none,2019",5,4,3093,95,3924,0.2535,2683.2272,75.024484,Brunei,Belait,Mukim Liang,,,,,Bank,Deposit
716174433,Existing Customer,65,F,1,College,Married,Less than $40K,Blue,54,3,2888,"none,2018",6,6,2306,89,1754,0.4015,3365.0016,93.454352,Singapore,North Region,Sembawang,,,,,Utility,Internet Bill
715952883,Existing Customer,65,M,0,High School,Married,$40K - $60K,Blue,48,5,4469,"none,2019",9,4,1566,126,3344,0.176,4718,133.677039,Laos,Vientiane,Xaysetha,,,,,Bank,ATM Withdrawal
713135883,Existing Customer,65,F,0,College,Married,Less than $40K,Blue,65,4,4315,"none,2019",8,0,1110,124,3598,0.128,3732,103.18407,Cambodia,Siem Reap,Kampong Chhnang,,,,,Retail,Clothing Store
715612983,Existing Customer,65,F,1,High School,Single,$40K - $60K,Silver,67,5,6463,"none,2019",6,8,2365,147,4803,0.1835,5411,151.99992,Laos,Vientiane,Xaythany,,,,,Retail,Sporting Goods
714914583,Existing Customer,65,F,2,College,Married,$40K - $60K,Blue,39,6,3751,"none,2019",2,6,1754,45,2230,0.2325,4384.152,124.34776,Brunei,Brunei-Muara,Seria,,,,,Utility,Internet Bill
716610558,Existing Customer,65,F,0,High School,Single,$40K - $60K,Silver,48,3,10962,"none,2019",5,6,2665,183,9403,0.121,10542,308.896395,Cambodia,Phnom Penh,Tuol Kork,,,,,Utility,Gas Bill
714460683,Attrited Customer,65,M,0,High School,Married,$40K - $60K,Blue,68,3,3838,"Q3,2019",9,10,2285,103,2102,0.296,5616,159.599442,Malaysia,Kedah,Langkawi,8/25/2019,2019,3,August,Bank,ATM Withdrawal
714321408,Existing Customer,65,M,1,High School,Married,$40K - $60K,Blue,56,6,2246,"none,2018",8,4,1854,112,920,0.415,4035,113.906121,Vietnam,Da Nang,Ngũ Hành Sơn,,,,,Bank,ATM Withdrawal
713956308,Existing Customer,65,F,0,Graduate,Married,$40K - $60K,Blue,61,4,3297,"none,2019",4,4,3459,102,1000,0.5235,5089.056,144.41728,Vietnam,Hanoi,Hoàn Kiếm,,,,,Retail,Clothing Store
713827383,Existing Customer,65,F,1,High School,Married,$40K - $60K,Blue,48,3,3198,"none,2019",7,0,3570,69,705,0.56,4713,133.461687,Myanmar,Mandalay,Pyigyitagon,,,,,Retail,Sporting Goods
713757633,Existing Customer,65,F,0,College,Married,$40K - $60K,Silver,56,3,7427,"none,2018",4,8,1898,134,6124,0.1275,6213,179.910167,Malaysia,Kedah,Langkawi,,,,,Retail,Electronics Store
713650683,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,68,4,3094,"none,2019",4,8,2771,58,828,0.446,4306,122.057848,Laos,Vientiane,Xaysetha,,,,,Bank,Online Transfer
713220258,Existing Customer,65,F,0,College,Married,$40K - $60K,Silver,36,4,8138,"none,2018",3,4,2749,141,6034,0.1695,4128,120.6127,Philippines,Central Luzon,Cabanatuan,,,,,Utility,Electricity Bill
717965808,Existing Customer,65,M,0,Graduate,Single,$40K - $60K,Silver,54,5,9383,"none,2018",4,8,2160,156,8554,0.114,6419,182.27686,Thailand,Bangkok,Dusit,,,,,Retail,Clothing Store
719729433,Attrited Customer,65,F,1,Graduate,Married,$40K - $60K,Silver,68,4,7023,"Q2,2019",3,0,2877,100,5297,0.203,6076,173.44662,Brunei,Tutong,Sungai Teraban,5/19/2019,2019,2,May,Utility,Internet Bill
719620983,Existing Customer,65,F,2,College,Single,$40K - $60K,Blue,29,6,2701,"none,2018",4,0,2503,126,862,0.4655,5064.7696,143.875598,Brunei,Tutong,Sungai Ujong,,,,,Utility,Gas Bill
719555733,Existing Customer,65,F,2,College,Married,$40K - $60K,Blue,36,4,2162,"none,2018",9,6,2650,117,570,0.613,4655,132.147729,Singapore,Central Region,Queenstown,,,,,Utility,Water Bill
718693683,Existing Customer,65,F,0,High School,Single,Less than $40K,Blue,53,4,2418,"none,2018",3,6,3246,146,213,0.671,5559,159.818704,Thailand,Bangkok,Bang Rak,,,,,Retail,Bookstore
718589133,Existing Customer,65,F,1,Graduate,Single,Less than $40K,Silver,56,6,4613,"none,2018",2,4,2922,103,2994,0.3155,5177,150.224331,Brunei,Tutong,Lumut,,,,,Utility,Gas Bill
718476033,Attrited Customer,65,F,0,College,Married,$80K - $120K,Gold,68,5,20130,"Q2,2019",4,10,3650,165,17775,0.0885,10085,288.93468,Philippines,Calabarzon,Lipa,4/1/2019,2019,2,April,Retail,Bookstore
718181433,Existing Customer,65,F,0,Graduate,Single,$40K - $60K,Silver,68,6,8705,"none,2019",2,4,1964,163,7252,0.1135,4650,134.15446,Malaysia,Kedah,Padang Terap,,,,,Bank,Credit Card Payment
717914808,Existing Customer,65,M,1,College,Single,Less than $40K,Blue,36,4,4465,"none,2018",5,10,1525,164,3762,0.1685,6190,178.833164,Indonesia,Jawa Barat,Sukabumi,,,,,Utility,Electricity Bill
717307158,Existing Customer,65,F,1,Graduate,Married,Less than $40K,Blue,48,2,1853,"none,2019",1,6,1706,95,539,0.4595,4955,142.939248,Philippines,Calabarzon,Santa Rosa,,,,,Retail,Sporting Goods
717134058,Existing Customer,65,F,1,College,Single,$40K - $60K,Silver,48,5,5018,"none,2019",2,4,1671,112,3887,0.1675,4007,116.28319,Thailand,Chiang Mai,Mae Ai,,,,,Utility,Gas Bill
717206508,Existing Customer,65,F,0,High School,Married,$40K - $60K,Blue,36,3,2798,"none,2018",4,4,2811,136,992,0.5025,2834.3904,80.440702,Myanmar,Naypyidaw,Zabuthiri Township,,,,,Bank,Deposit
717380133,Existing Customer,65,M,0,High School,Single,$40K - $60K,Blue,48,6,3305,"none,2019",9,2,2605,130,1396,0.394,5001,139.486471,Vietnam,Ho Chi Minh City,District 1,,,,,Bank,Credit Card Payment
717296808,Existing Customer,64,F,1,Graduate,Married,Less than $40K,Blue,68,4,3006,"none,2019",3,4,3751,52,489,0.6235,4690.0192,133.247846,Indonesia,Jawa Tengah,Purwokerto,,,,,Retail,Bookstore
719161683,Existing Customer,64,F,0,Graduate,Married,$40K - $60K,Blue,55,4,2508,"none,2018",7,8,2011,96,928,0.4,4827,137.144997,Thailand,Phuket,Mueang Phuket,,,,,Retail,Electronics Store
716853258,Existing Customer,64,M,1,Graduate,Single,Less than $40K,Blue,45,5,4417,"none,2018",7,4,521,133,4417,0.06,4665,132.029241,Malaysia,Selangor,Petaling Jaya,,,,,Retail,Bookstore
720439533,Existing Customer,64,F,0,College,Single,$40K - $60K,Silver,36,3,7112,"none,2018",2,6,2308,137,5754,0.1605,6625,191.939614,Cambodia,Phnom Penh,Mean Chey,,,,,Utility,Water Bill
717916758,Existing Customer,64,F,0,College,Married,$40K - $60K,Silver,56,4,10509,"none,2018",6,6,2808,135,8121,0.1335,9838,276.822586,Malaysia,Selangor,Shah Alam,,,,,Utility,Gas Bill
719655258,Existing Customer,64,M,0,Graduate,Single,$40K - $60K,Blue,36,3,3196,"none,2018",5,8,1040,102,3196,0.165,5050,144.633,Myanmar,Mandalay,Pyigyitagon,,,,,Utility,Gas Bill
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,64,6,1709,"none,2019",5,6,1521,92,814,0.447,5257.072,147.68836,Brunei,Brunei-Muara,Muara,,,,,Utility,Gas Bill
719973033,Attrited Customer,64,F,1,College,Married,$40K - $60K,Blue,49,5,3208,"Q2,2019",8,4,1060,157,3208,0.165,6525,184.83468,Philippines,Calabarzon,Lipa,5/18/2019,2019,2,May,Retail,Bookstore
719810583,Existing Customer,64,M,0,High School,Married,$40K - $60K,Blue,54,4,2140,"none,2018",4,4,2846,108,779,0.663,4157,119.85882,Vietnam,Da Nang,Hòa Vang,,,,,Utility,Internet Bill
816528333,Attrited Customer,64,F,0,High School,Single,$40K - $60K,Blue,68,6,2609,"Q2,2019",7,2,2419,125,1494,0.4635,14779.0705,420.65943,Philippines,Calabarzon,Quezon City,4/20/2019,2019,2,April,Retail,Sporting Goods
716160708,Existing Customer,64,M,1,Graduate,Single,Less than $40K,Blue,36,4,1861,"none,2018",9,2,2914,199,184,0.7805,5238,149.006076,Thailand,Chiang Mai,Fang,,,,,Bank,Deposit
712852233,Existing Customer,64,F,0,Graduate,Single,$40K - $60K,Silver,65,5,6663,"none,2019",3,8,2122,169,5898,0.1575,2752,80.40033,Singapore,Central Region,Bedok,,,,,Utility,Gas Bill
713029683,Attrited Customer,64,M,0,Graduate,Single,Less than $40K,Blue,48,5,1873,"Q2,2019",7,2,1436,178,1405,0.385,3902,110.256195,Malaysia,Selangor,Seri Kembangan,4/19/2019,2019,2,April,Bank,Credit Card Payment
720717108,Existing Customer,64,M,1,Graduate,Single,$40K - $60K,Blue,51,6,2571,"none,2018",6,2,1581,113,1361,0.3055,3055.2416,84.822152,Brunei,Tutong,Pekan Tutong,,,,,Bank,ATM Withdrawal
713307708,Existing Customer,64,F,0,Graduate,Married,Less than $40K,Blue,67,6,2895,"none,2019",6,4,3926,87,378,0.6795,3387.7776,95.553572,Laos,Pakse,Thakhek,,,,,Bank,Online Transfer
714351558,Existing Customer,64,F,0,Uneducated,Single,Less than $40K,Blue,48,3,1829,"none,2019",5,2,376,97,1829,0.105,5180.808,145.86326,Cambodia,Sihanoukville,Preah Sihanouk,,,,,Utility,Electricity Bill
715078383,Existing Customer,64,F,0,College,Married,$40K - $60K,Silver,36,3,7646,"none,2018",4,6,2177,121,6636,0.141,4815,136.569804,Singapore,Central Region,Jurong West,,,,,Utility,Electricity Bill
715339758,Existing Customer,64,F,1,College,Divorced,$60K - $80K,Gold,36,3,18038,"none,2018",7,2,1667,156,16854,0.048,11144,315.798636,Laos,Pakse,Vientiane,,,,,Utility,Gas Bill
715746633,Existing Customer,64,F,0,Graduate,Single,$40K - $60K,Silver,66,3,5577,"none,2019",5,4,1579,171,4888,0.142,4834,136.841538,Brunei,Brunei-Muara,Seria,,,,,Bank,ATM Withdrawal
715937133,Existing Customer,64,F,1,College,Married,$40K - $60K,Silver,52,6,4999,"none,2018",8,4,3792,111,2700,0.38,5503,156.503586,Thailand,Bangkok,Bang Kho Laem,,,,,Utility,Internet Bill
708788583,Attrited Customer,64,F,1,College,Married,$40K - $60K,Silver,56,3,6167,"Q3,2018",1,2,0,43,6167,0,1628,46.398,Singapore,North Region,Sembawang,7/9/2018,2018,3,July,Retail,Bookstore
721084833,Existing Customer,64,M,1,Graduate,Single,$60K - $80K,Gold,34,5,17657,"none,2018",4,4,3094,105,15639,0.087,7755,215.138718,Thailand,Bangkok,Pom Prap Sattru Phai,,,,,Retail,Bookstore
708300483,Attrited Customer,64,F,0,College,Married,$40K - $60K,Silver,56,5,7882,"Q4,2018",4,3,605,16,7277,0.077,836,22.0286,Laos,Vientiane,Naxaythong,11/5/2018,2018,4,November,Retail,Bookstore
712953483,Attrited Customer,64,F,0,Graduate,Single,Less than $40K,Blue,36,1,1682,"Q2,2018",3,4,0,39,1682,0,1307,37.2495,Myanmar,Mandalay,Chanayethazan,5/1/2018,2018,2,May,Utility,Internet Bill
708868233,Attrited Customer,64,M,0,High School,Married,Less than $40K,Blue,52,1,1438.3,"Q3,2018",3,2,900,21,538.3,0.626,1746,49.761,Cambodia,Phnom Penh,Prampi Makara,9/25/2018,2018,3,September,Bank,Deposit
818259558,Attrited Customer,64,F,0,Graduate,Single,Less than $40K,Blue,68,4,2294,"Q2,2019",5,6,2816,117,712,0.615,14345,409.097325,Myanmar,Naypyidaw,Ottarathiri Township,5/3/2019,2019,2,May,Bank,Deposit
804847308,Attrited Customer,64,F,0,Graduate,Single,Less than $40K,Blue,68,6,2000,"Q1,2019",4,2,814,123,1564,0.205,14841,423.1941,Laos,Pakse,Thakhek,1/8/2019,2019,1,January,Bank,Credit Card Payment
810449883,Existing Customer,64,M,0,High School,Married,$40K - $60K,Blue,56,6,2215,"none,2018",4,0,2503,79,300,0.5675,14117.5296,401.965512,Myanmar,Yangon,Lanmadaw,,,,,Utility,Water Bill
708563433,Attrited Customer,64,F,0,Graduate,Single,$40K - $60K,Silver,56,3,5894,"Q4,2018",6,3,477,32,5417,0.081,1223,33.8771,Malaysia,Johor,Kulai,10/26/2018,2018,4,October,Bank,Deposit
718515483,Attrited Customer,64,M,0,Graduate,Single,$40K - $60K,Blue,52,2,3570,"Q2,2018",3,5,2517,47,1053,0.705,4152,118.332,Singapore,North Region,Sembawang,6/16/2018,2018,2,June,Retail,Electronics Store
813380058,Existing Customer,64,F,0,College,Single,Less than $40K,Blue,68,3,4100,"none,2019",4,8,1994,130,3237,0.245,16438.9008,468.066004,Laos,Vientiane,Hadxaifong,,,,,Bank,ATM Withdrawal
820633833,Existing Customer,64,F,1,Graduate,Single,$40K - $60K,Silver,68,5,5152,"none,2019",2,8,2352,125,4204,0.227,15462,443.057836,Cambodia,Phnom Penh,Chroy Changvar,,,,,Bank,Credit Card Payment
712720158,Existing Customer,64,M,1,College,Married,$60K - $80K,Silver,56,5,13860,"none,2018",6,6,2603,92,12208,0.0945,8466,239.238192,Laos,Pakse,Salavan,,,,,Retail,Bookstore
716306583,Attrited Customer,64,M,0,Graduate,Single,$40K - $60K,Blue,36,3,3812,"Q2,2018",3,5,2517,45,1295,0.66,4546,129.561,Singapore,North Region,Sembawang,4/18/2018,2018,2,April,Bank,Credit Card Payment
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3353,"Q4,2018",3,3,0,18,3353,0,2041,58.1685,Malaysia,Johor,Muar,10/12/2018,2018,4,October,Retail,Clothing Store
737925558,Existing Customer,64,M,0,Graduate,Married,$40K - $60K,Blue,56,3,4234,"none,2018",7,4,2648,139,2341,0.3135,7023,196.738254,Brunei,Tutong,Lumut,,,,,Utility,Water Bill
778286433,Existing Customer,64,M,0,Graduate,Married,$40K - $60K,Silver,56,4,5876,"none,2018",6,2,2098,89,4579,0.1805,3883,107.33217,Laos,Vientiane,Sikhottabong,,,,,Utility,Electricity Bill
737952333,Existing Customer,64,M,1,Graduate,Single,$40K - $60K,Blue,68,3,2586,"none,2019",5,10,437,110,2586,0.085,5877,166.258818,Malaysia,Selangor,Petaling Jaya,,,,,Bank,Online Transfer
771486933,Existing Customer,64,M,1,Graduate,Single,$40K - $60K,Blue,52,5,2563,"none,2018",3,4,2945,154,321,0.5725,5213.24,147.5187,Vietnam,Ho Chi Minh City,District 12,,,,,Bank,Deposit
772202058,Attrited Customer,64,M,0,Graduate,Married,$40K - $60K,Blue,65,3,2084,"Q2,2019",4,8,1906,81,437,0.455,3080,87.93786,Vietnam,Da Nang,Sơn Trà,6/18/2019,2019,2,June,Bank,ATM Withdrawal
798110358,Existing Customer,64,F,1,High School,Married,Less than $40K,Blue,56,4,1438.3,"none,2018",8,8,235,67,1438.3,0.075,6529,184.668495,Brunei,Tutong,Sungai Basong,,,,,Bank,Deposit
779241783,Existing Customer,64,M,1,High School,Married,Less than $40K,Blue,61,4,3106,"none,2019",5,4,3153,102,1431,0.5095,5099,147.418168,Brunei,Belait,Sungai Teraban,,,,,Bank,Credit Card Payment
789563658,Existing Customer,64,M,0,College,Single,$40K - $60K,Silver,56,5,12155,"none,2018",7,8,306,148,12155,0.015,15048,430.2765,Malaysia,Selangor,Subang Jaya,,,,,Utility,Water Bill
790000608,Existing Customer,64,F,1,Graduate,Single,$40K - $60K,Silver,68,4,6723,"none,2019",1,2,2331,155,5755,0.172,5561.4208,157.956604,Thailand,Bangkok,Dusit,,,,,Utility,Gas Bill
712523283,Existing Customer,64,M,3,Graduate,Married,$60K - $80K,Silver,41,4,14938,"none,2018",8,4,450,106,14938,0.015,12903,353.434038,Indonesia,Jawa Barat,Bekasi,,,,,Utility,Electricity Bill
708295533,Existing Customer,64,F,0,College,Married,$40K - $60K,Blue,56,5,3549,"none,2018",7,4,3371,93,1669,0.475,2267,63.272946,Thailand,Phuket,Mueang Phuket,,,,,Utility,Internet Bill
709523508,Existing Customer,64,F,0,Graduate,Single,$40K - $60K,Silver,53,5,11097,"none,2018",1,4,545,97,11097,0.025,4533,132.931178,Philippines,Calabarzon,Biñan,,,,,Retail,Bookstore
709468683,Existing Customer,64,F,0,High School,Married,$40K - $60K,Blue,56,6,2174,"none,2018",2,4,2326,116,777,0.5365,1989.208,56.31454,Singapore,Central Region,Queenstown,,,,,Retail,Bookstore
709310433,Existing Customer,64,F,0,College,Single,$40K - $60K,Silver,68,3,5441,"none,2019",6,4,2174,182,4629,0.1995,3182,86.983818,Myanmar,Yangon,Bahan,,,,,Utility,Water Bill
709131033,Existing Customer,64,F,2,Uneducated,Married,$40K - $60K,Blue,36,3,2025,"none,2018",4,8,2416,159,324,0.595,1404.928,39.81439,Philippines,Central Luzon,San Fernando,,,,,Retail,Electronics Store
709081683,Existing Customer,64,M,1,High School,Single,Less than $40K,Silver,54,3,4599,"none,2018",5,6,2454,185,3161,0.2665,3032,86.034402,Cambodia,Phnom Penh,Chroy Changvar,,,,,Retail,Bookstore
708887433,Existing Customer,64,M,0,Graduate,Single,$40K - $60K,Blue,56,6,2717,"none,2018",3,6,497,141,2717,0.09,1976.6688,56.054344,Thailand,Chiang Mai,Mae Chaem,,,,,Utility,Gas Bill
708590658,Existing Customer,64,F,1,College,Married,$60K - $80K,Gold,65,5,15965,"none,2019",7,4,3732,84,13653,0.1175,4528,123.299754,Thailand,Chiang Mai,Fang,,,,,Retail,Clothing Store
708480333,Existing Customer,64,M,0,High School,Single,$40K - $60K,Blue,36,5,2163,"none,2018",4,6,1317,142,1231,0.3055,1787.5936,50.860718,Indonesia,Jawa Tengah,Salatiga,,,,,Utility,Water Bill
709597983,Existing Customer,64,M,0,Uneducated,Divorced,Less than $40K,Blue,68,6,1573,"none,2019",1,6,950,193,920,0.3025,1607.1664,45.417582,Malaysia,Selangor,Petaling Jaya,,,,,Retail,Electronics Store
708267858,Existing Customer,64,F,0,High School,Married,$40K - $60K,Silver,48,5,6088,"none,2019",4,6,3643,120,3943,0.301,3468,101.9316,Singapore,Central Region,Woodlands,,,,,Utility,Electricity Bill
